Player_id,Position_Code
237681,RW
264309,RM
264309,CAM
264309,RW
220093,CB
220093,RB
262088,CAM
262088,LM
262088,CM
264652,LW
264652,RW
264652,LM
213209,CDM
213209,CM
244973,CM
244973,CAM
244973,CDM
199189,CM
199189,CAM
208919,LW
208919,ST
208919,RW
208919,LM
232487,CDM
232487,CM
271400,LM
271400,LW
226096,RW
226096,RM
226096,CM
200759,LB
200759,CM
200759,LM
200759,LW
236883,CM
236883,LM
236883,RM
236883,CAM
230239,CDM
230239,CM
192636,CM
192636,CDM
214436,CB
232905,RM
232905,RW
215531,RM
215531,CM
215531,RW
226797,CAM
226797,LM
226797,CM
257290,RB
257290,RM
220714,CM
220714,CAM
220714,CDM
227678,CB
227678,RB
227678,RM
224982,CAM
224982,CM
271145,LB
271145,LM
236075,LB
236075,LM
245035,CDM
245035,CM
236898,CM
236898,CDM
251011,CM
251011,CDM
251011,CAM
229010,CAM
229010,CM
229010,LM
229010,ST
246685,LB
246685,LM
258208,LM
258208,CAM
258208,ST
258208,LW
204497,CAM
204497,CM
245253,CM
245253,CDM
245253,CAM
254551,ST
213613,CM
213613,CDM
241852,RM
241852,RW
254142,CDM
254142,CM
231677,LM
231677,LW
231677,ST
255487,CDM
255487,CM
255487,CAM
226110,RM
226110,ST
226110,RW
234943,CM
234943,CAM
234943,CDM
245209,CDM
245209,CM
248050,LB
248050,LM
211748,CDM
211748,CM
211748,CAM
242725,CM
242725,CAM
235883,LB
234236,ST
245538,ST
248166,CM
248166,CDM
239482,LM
239482,LW
234171,RM
234171,CAM
234171,RB
234171,RW
225475,CDM
225475,CM
225475,CAM
268756,CM
268756,CAM
219951,CM
224309,CM
224309,CDM
224309,CB
189271,CM
189271,CDM
257400,CM
257400,CDM
259233,CM
206006,LB
206006,LM
226508,LB
226508,LM
229343,LB
229343,LM
193254,RB
193254,RM
252935,CAM
252935,ST
257057,CDM
257057,CM
255074,CAM
255074,CM
255074,CDM
246430,ST
236987,CDM
236987,CM
243646,CM
243646,RW
243646,LW
243646,CAM
270039,LM
270039,LB
270039,RM
262118,RB
262118,LB
262118,RM
259307,RB
259307,RM
241390,LM
241390,LW
241390,CM
214006,RM
214006,RB
214006,RW
268802,CM
268802,CDM
268802,LM
268802,CAM
212245,CM
212245,LM
212245,CDM
212245,CAM
261143,CM
261143,CDM
261143,CAM
204838,ST
210739,CDM
210739,CM
245597,RB
245597,RM
275353,RB
275353,RM
275353,RW
251116,CB
251116,CDM
